Agua Dulce,31.6549,-106.1369,2995
Agua Dulce,34.5044,-118.316,2768
Agua Fria,35.6615,-106.0149,2842
Aguada,18.3803,-67.1884,3182
Aguadilla,18.4382,-67.1537,235546
Aguanga,33.4522,-116.8555,756
Aguas Buenas,18.2573,-66.1061,3544
Aguas Claras,18.2447,-65.6662,2162
Aguila,33.9376,-113.1665,208
Aguilar,37.4036,-104.655,442
Aguilares,27.4516,-99.0932,41
Aguilita,18.0284,-66.533,3840
Ahmeek,47.2985,-88.3971,90
Ahoskie,36.2842,-76.9902,4798
Ahtanum,46.5573,-120.6138,3570
Ahuimanu,21.4379,-157.8404,8520
Ahwahnee,37.3654,-119.7166,1532
Ai,41.6272,-83.9384,598
Aibonito,18.1398,-66.2659,8642
Aiea,21.3865,-157.9232,9155
Aiken,33.5303,-81.7271,32334
Ailey,32.1882,-82.5698,530
Ainaloa,19.5215,-154.9944,3493
Ainsworth,42.5485,-99.8576,1632
Ainsworth,41.2901,-91.5545,723
Air Force Academy,38.9942,-104.8639,6701
Airmont,41.0992,-74.0989,10082
Airport,37.6337,-120.972,1258
Airport Drive,37.1405,-94.5162,785
Airport Heights,26.4087,-98.8367,116
Airport Road Addition,27.219,-98.0981,103
Airway Heights,47.6459,-117.5792,10766
Aitkin,46.5262,-93.7056,2217
Ajo,32.3923,-112.8839,3783
Ak Chin,32.2873,-112.0091,33
Ak-Chin Village,33.0197,-112.0808,1133
Akaska,45.331,-100.1208,79
Akeley,47.0005,-94.728,323
Akhiok,56.945,-154.215,117
Akiachak,60.921,-161.4021,629
Akiak,60.9061,-161.2122,273
Akins,35.5043,-94.67,499
Akron,41.0798,-81.5219,538659
Akron,40.158,-76.2031,4133
Akron,43.018,-78.4978,2904
Akron,40.1635,-103.2202,1681
Akron,42.8268,-96.5572,1660
Akron,41.0388,-86.0249,1061
Akron,32.8785,-87.7429,354
Akron,43.5667,-83.5143,312
Akutan,54.1594,-165.7328,737
Akwesasne,44.9647,-74.6664,4140
Alabaster,33.2198,-86.8225,33633
Alachua,29.7779,-82.4832,10638
Alafaya,28.528,-81.1868,90874
Alakanuk,62.6902,-164.6305,997
Alamance,36.0285,-79.489,1358
Alameda,37.7668,-122.267,76876
Alamillo,34.2519,-106.9158,168
Alamo,26.181,-98.1177,20008
Alamo,37.8548,-122.0136,14441
Alamo,32.1469,-82.7798,3108
Alamo,35.783,-89.1168,2565
Alamo,34.4184,-107.5125,1242
Alamo,37.3771,-115.1678,822
Alamo,48.5824,-103.4676,50
Alamo,39.9834,-87.0552,40
Alamo Beach,28.5734,-96.5655,153
Alamo Heights,29.4828,-98.4682,7443
Alamo Lake,34.2588,-113.5079,3
Alamogordo,32.8837,-105.9625,31063
Alamosa,37.4752,-105.877,9847
Alamosa East,37.4766,-105.8397,1404
Alanreed,35.2117,-100.7325,16
Alanson,45.4425,-84.7871,943
Alapaha,31.3832,-83.2237,552
Alatna,66.5638,-152.8385,22
Alba,37.2372,-94.4176,654
Alba,32.7906,-95.6343,574
Alba,44.9786,-84.9695,304
Alba,41.7059,-76.8277,130
Albany,42.6664,-73.7987,602242
Albany,31.5776,-84.1762,82612
Albany,44.6272,-123.0965,65410
Albany,37.8897,-122.3018,19768
Albany,40.3056,-85.2331,2984
Albany,45.6284,-94.5675,2800
Albany,36.6906,-85.1353,1972
Albany,40.2479,-94.3335,1855
Albany,32.7272,-99.2957,1725
Albany,42.7069,-89.4367,1065
Albany,30.4993,-90.5839,969
Albany,39.2245,-82.1975,909
Albany,41.7861,-90.2163,783
Albany,33.8769,-96.16,150
Albany,41.1869,-106.1255,17
Albee,45.0513,-96.5535,4
Albemarle,35.3594,-80.1915,16527
Albers,38.5452,-89.6142,1428
Albert,38.454,-99.0111,102
Albert City,42.7816,-94.9491,680
Albert Lea,43.6548,-93.3643,18379
Alberta,36.8552,-77.8937,249
Alberta,45.5749,-96.0504,86
Alberton,47.0037,-114.4817,567
Albertson,40.7715,-73.6482,4859
Albertville,34.2633,-86.2108,22584
Albertville,45.2364,-93.6618,8066
Albia,41.0268,-92.8038,3688
Albin,41.417,-104.1016,198
Albion,42.2478,-84.7572,7608
Albion,43.246,-78.1902,5495
Albion,41.3966,-85.4187,2680
